# 16:22:09.069:0: Opening log file on: Thu Apr 25 16:22:09 2013
# 16:22:09.070:0: DFW_BUILD_3_3_1_21 - 06/23/2011 12:29:11
# 16:22:09.070:0: DFW plugin directories: C:/WindRiver/workbench-3.3/dfw/host/x86-win32/dfwplugins
# 16:22:09.070:0: C:\WindRiver\workbench-3.3\dfw\x86-win32\bin\dfwserver.exe -protocol mi -io sockets -useregistry -session dfw-wb331-Nathan -registryhost 127.0.0.1 -ls+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwserver.log -lt+ C:/Users/Nathan/Documents/GitHub/Team1257Code/.metadata/.plugins/com.windriver.ide.target/dfwstatus.log 
# 16:22:09.088:1: Opening session 2cb9998
16:22:09.088:1: c:	\0012
16:22:09.330:2: r:	4^done,info={path="",nodeInfo={nodeName="ProcessorPluginsInformation",nodeType="array",numChildrenReturned="3",moreChildren="false",startChild="0",children=[{nodeType="struct",numChildrenReturned="4",children=[{nodeName="Name",nodeValue="iacpuplugin"},{nodeName="Description",nodeValue="IA Processor Plugin"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="10",children=[{nodeName="pentium",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="pentium2",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="pentium3",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="pentium4",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="xeon",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="atom",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="core",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="core_ix",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="sim",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="NEHALEM",nodeType="array",numChildrenReturned="0",moreChildren="false"}]},{nodeName="RegisterModels",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="4",children=[{nodeName="Name",nodeValue="ppccpuplugin"},{nodeName="Description",nodeValue="PowerPC Processor Plugin"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="17",children=[{nodeName="ppc6xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="ppc40x",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="ppc5xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc8xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="ppc97x",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="ppc7xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc82xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc74xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc83xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc85xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc86xx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="ppc44x",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="qoriq_p1xxx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="qoriq_p2xxx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="qoriq_p4xxx",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="mpc52xx",nodeType="array",numChildrenReturned="2",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200"},{nodeName="1",nodeValue="MPC5200B"}]},{nodeName="PPC47X",nodeType="array",numChildrenReturned="0",moreChildren="false"}]},{nodeName="RegisterModels",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="struct",numChildrenReturned="2",children=[{nodeName="RegisterModel",nodeType="struct",numChildrenReturned="2",children=[{nodeName="Name",nodeValue="Auto"},{nodeName="Description",nodeValue="Autodetect"}]},{nodeName="RegisterModel",nodeType="struct",numChildrenReturned="2",children=[{nodeName="Name",nodeValue="reg32"},{nodeName="Description",nodeValue="32-bit"}]}]}]}]},{nodeType="struct",numChildrenReturned="4",children=[{nodeName="Name",nodeValue="sparccpuplugin"},{nodeName="Description",nodeValue="Sun SPARC Family Processor Plugin"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="3",children=[{nodeName="sparc64",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="sparc32",nodeType="array",numChildrenReturned="0",moreChildren="false"},{nodeName="sim",nodeType="array",numChildrenReturned="0",moreChildren="false"}]},{nodeName="RegisterModels",nodeType="struct",numChildrenReturned="0"}]}]}}
16:22:09.330:2: r:	(gdb)
16:22:09.356:2: c:	5-wrs-info-retrieve /TargetPluginsInformation default:*/{Name,Description,ConnectionType,ProcessorTree/*/*/*,Wizard,WizardData/*}
16:22:09.360:2: r:	5^done,info={path="",nodeInfo={nodeName="TargetPluginsInformation",nodeType="array",numChildrenReturned="3",moreChildren="false",startChild="0",children=[{nodeType="struct",numChildrenReturned="6",children=[{nodeName="Name",nodeValue="unifiedtargetplugin"},{nodeName="Description",nodeValue="Wind River Unified Target Servers"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="struct",numChildrenReturned="2",children=[{nodeName="MPC5200",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue=""}]},{nodeName="MPC5200B",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue=""}]}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="3",children=[{nodeName="DEVICE",nodeValue="WTX_VXWORKS"},{nodeName="Status",nodeValue=""},{nodeName="TargetServers",nodeValue=""}]}]},{nodeType="struct",numChildrenReturned="6",children=[{nodeName="Name",nodeValue="unifiedtargetplugin"},{nodeName="Description",nodeValue="Wind River Unified Target Servers"},{nodeName="ConnectionType",nodeValue="Wind River UTS for Linux PTRACE User Mode"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="struct",numChildrenReturned="2",children=[{nodeName="MPC5200",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue=""}]},{nodeName="MPC5200B",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue=""}]}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for Linux PTRACE User Mode"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="3",children=[{nodeName="DEVICE",nodeValue="WTX_LINUXPTRACE"},{nodeName="Status",nodeValue=""},{nodeName="TargetServers",nodeValue=""}]}]},{nodeType="struct",numChildrenReturned="6",children=[{nodeName="Name",nodeValue="unifiedtargetplugin"},{nodeName="Description",nodeValue="Wind River Unified Target Servers"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks 653"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks 653"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="3",children=[{nodeName="DEVICE",nodeValue="WTX_VXWORKS"},{nodeName="Status",nodeValue=""},{nodeName="TargetServers",nodeValue=""}]}]}]}}
16:22:09.360:2: r:	(gdb)
16:22:09.363:2: c:	6-wrs-info-retrieve /TOSPluginsInformation default:*/{Name,Description,Version,ConnectionType,ProcessorTree/*/*,Wizard,WizardData/*}
16:22:09.365:2: r:	6^done,info={path="",nodeInfo={nodeName="TOSPluginsInformation",nodeType="array",numChildrenReturned="12",moreChildren="false",startChild="0",children=[{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.3"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.4"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.5"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.6"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.7"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.8"},{nodeName="ConnectionType",nodeValue="AppendedDatas"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="0"},{nodeName="Wizard",nodeValue=""},{nodeName="WizardData",nodeType="struct",numChildrenReturned="0"}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.3"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.4"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="2",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200"},{nodeName="1",nodeValue="MPC5200B"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.5"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.6"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200B"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.7"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200B"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]},{nodeType="struct",numChildrenReturned="7",children=[{nodeName="Name",nodeValue="vxworksplugin"},{nodeName="Description",nodeValue="vxWorks TOS plugin"},{nodeName="Version",nodeValue="Wind River VxWorks 6.8"},{nodeName="ConnectionType",nodeValue="Wind River UTS for VxWorks"},{nodeName="ProcessorTree",nodeType="struct",numChildrenReturned="1",children=[{nodeName="mpc52xx",nodeType="array",numChildrenReturned="1",moreChildren="false",startChild="0",children=[{nodeName="0",nodeValue="MPC5200B"}]}]},{nodeName="Wizard",nodeValue="WTX Connection Wizard for VxWorks"},{nodeName="WizardData",nodeType="struct",numChildrenReturned="6",children=[{nodeName="KernelImage",nodeValue="NotApplicable"},{nodeName="StartExitEvents",nodeValue="All"},{nodeName="TargetRunningRefreshSupported",nodeValue="true"},{nodeName="PeriodicRefresh",nodeValue="Not Default"},{nodeName="IsStartAddressLoadSupported",nodeValue="true"},{nodeName="IsSectionAddressLoadSupported",nodeValue="true"}]}]}]}}
16:22:09.365:2: r:	(gdb)
16:23:20.593:2: c:	7-wrs-echo *** TM log: start launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (run)
16:23:20.594:2: r:	7^done,echo="*** TM log: start launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (run)"
16:23:20.594:2: r:	(gdb)
16:23:20.622:2: c:	8-wrs-echo *** TM log: start connect VxWorks6x_10.12.57.2
16:23:20.622:2: r:	8^done,echo="*** TM log: start connect VxWorks6x_10.12.57.2"
16:23:20.622:2: r:	(gdb)
16:24:11.300:2: c:	9-wrs-echo *** TM log: end connect VxWorks6x_10.12.57.2 status: Status ERROR: com.windriver.tm.core code=0 Step finished with this error: Failed to connect to the WDB Target Agent.
16:24:11.300:2: r:	9^done,echo="*** TM log: end connect VxWorks6x_10.12.57.2 status: Status ERROR: com.windriver.tm.core code=0 Step finished with this error: Failed to connect to the WDB Target Agent."
16:24:11.300:2: r:	(gdb)
16:24:11.301:2: c:	10-wrs-echo *** TM log: end launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (run) status: Status ERROR: com.windriver.tm.core code=0 Launch step finished with this error: Step finished with this error: Failed to connect to the WDB Target Agent.
16:24:11.301:2: r:	10^done,echo="*** TM log: end launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (run) status: Status ERROR: com.windriver.tm.core code=0 Launch step finished with this error: Step finished with this error: Failed to connect to the WDB Target Agent."
16:24:11.301:2: r:	(gdb)
16:29:21.688:2: c:	11-wrs-echo *** TM log: start launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (1) (run)
16:29:21.688:2: r:	11^done,echo="*** TM log: start launch FRC_UserProgram_StartupLibraryInit - Team1257MoreCode.out - VxWorks6x_10.12.57.2 (1) (run)"
16:29:21.688:2: r:	(gdb)
16:29:21.691:2: c:	12-wrs-echo *** TM log: start connect VxWorks6x_10.12.57.2
16:29:21.691:2: r:	12^done,echo="*** TM log: start connect VxWorks6x_10.12.57.2"
16:29:21.691:2: r:	(gdb)
16:29:27.723:2: c:	13-wrs-info-retrieve -t /TargetDefns/VxWorks6x_10.12.57.2 default:{Name,Params,AutoSystemAll,Plugin,{Systems/*/{Name,Params,AutoCpuAll,Cores,{Cores/*/{Name,Params,AutoCpu,Plugin}},{TOS/{Params,Plugin}}}}}
16:29:28.073:2: r:	13^error,message="Node ''{0}'' does not have a child name ''{1}''",parameters=["TargetDefns","VxWorks6x_10.12.57.2"]
16:29:28.073:2: r:	(gdb)
16:29:28.082:2: c:	14-wrs-target-define VxWorks6x_10.12.57.2 unifiedtargetplugin -tgt "DEVICE='WTX_VXWORKS',ADDR='VxWorks6x_10.12.57.2@Nathan-PC'"
16:29:28.083:2: r:	14^done,defName="VxWorks6x_10.12.57.2"
16:29:28.083:2: r:	(gdb)
16:29:28.090:2: c:	15-wrs-system-define MPC5200 "MODROOTS=[[host:/,C:/],[/,C:/],[host:/c/ni-rt/system/vxWorks/,C:/WindRiver/WPILib/cRIOFRC_vxWorks/],[/tgtsvr/,C:/WindRiver/workspace/],[host:,],[,]],MODBASENAMES=[[*,*.unstripped],[*,*]],MODLOAD=1,MODSEARCH=1,RegisterModel='Auto'" -target VxWorks6x_10.12.57.2 -cpu MPC5200 ppccpuplugin "Processor='MPC5200'" -tos vxworksplugin "OS='Wind River VxWorks 6.3',ConnectionType='Wind River UTS for VxWorks'"
16:29:28.091:2: r:	15^done,sysName="MPC5200"
16:29:28.091:2: r:	(gdb)
16:29:28.099:2: c:	16-wrs-target-connect VxWorks6x_10.12.57.2
# 16:29:28.112:0: CP: unifiedtargetplugin version 3.3.1.21 Patch Level : No Patch
16:29:28.114:2: r:	16^done
16:29:28.114:2: r:	(gdb)
16:29:28.118:2: c:	17-wrs-target-connect VxWorks6x_10.12.57.2 -tgt
# 16:29:28.201:2: MIClientThreadId =1 :: {objectid=1, object-type=TargetSystem}
16:29:28.201:2: r:	=connected,thread-id="1",def-name="VxWorks6x_10.12.57.2"
# 16:29:28.201:0: MIClientThreadId =2 :: {objectid=0x1, object-type=System}
# 16:29:28.202:0: MIClientThreadId =3 :: {objectid=1, object-type=Core}
16:29:28.202:2: r:	17^done
16:29:28.202:2: r:	(gdb)
16:29:28.207:2: c:	18-wrs-info-retrieve -t /Targets/VxWorks6x_10.12.57.2 default:{Name,Connected,ThreadId,{Systems/*/{Name,ThreadId,Connected,TID}}}
16:29:28.208:2: r:	18^done,i=["VxWorks6x_10.12.57.2","true","1",["MPC5200","2","false","0x1"]]
16:29:28.208:2: r:	(gdb)
16:29:28.214:2: c:	19-wrs-target-connect VxWorks6x_10.12.57.2 -system MPC5200
# 16:29:28.334:0: PP: ppccpuplugin version 3.3.1.21 Patch Level : No Patch
16:29:28.565:2: r:	=register-model-changed,thread-id="2",model="reg32",pc-register-size="32"
# 16:29:28.805:0: OP: vxworksplugin version 3.3.1.21 Patch Level : No Patch
16:29:30.586:2: r:	=context-update,thread-id="2",TOSAwareness="disabled",Description="OS awareness disabled",Reason="OS awareness plug-in loaded"
# 16:29:30.603:0: RST:Load kernel symbol file started
# 16:29:30.751:0: RST:Load kernel symbol file done
# 16:29:30.752:0: RST:OS version check started
# 16:29:30.817:0: RST:OS version check done
# 16:29:30.819:0: RST_Kernel_state {thread-id=3  , kind=70, description=kernel-pre-loaded}
16:29:30.820:2: r:	=connected,thread-id="2",def-name="VxWorks6x_10.12.57.2",system-name="MPC5200"
16:29:30.821:2: r:	=context-update,thread-id="2",TOSAwareness="disabled",Description="Load kernel symbol file started"
16:29:30.821:2: r:	19^done
16:29:30.821:2: r:	(gdb)
16:29:30.821:2: r:	=context-update,thread-id="2",TOSAwareness="disabled",Description="Load kernel symbol file done"
16:29:30.823:2: r:	=modules-changed,thread-id="2",modules=[{id="0x1",name="C:/WindRiver/WPILib/cRIOFRC_vxWorks",file="C:/WindRiver/WPILib/cRIOFRC_vxWorks",symbols="1",reserved="0",image="1",tos-id=""}]
16:29:30.823:2: r:	=context-update,thread-id="2",TOSAwareness="disabled",Description="OS version check started"
16:29:30.824:2: r:	=context-update,thread-id="2",TOSAwareness="disabled",Description="OS version check done"
# 16:29:30.825:0: RST_Kernel_state {thread-id=2  , kind=71, description=kernel-check}
# 16:29:30.827:0: RST_Kernel_state {thread-id=3  , kind=72, description=kernel-post-check}
16:29:30.827:2: c:	20-wrs-target-modules-resync -id 2
16:29:30.827:2: r:	20^done
16:29:30.827:2: r:	(gdb)
# 16:29:30.828:0: RST_Kernel_state {thread-id=2  , kind=73, description=kernel-post-loaded}
